date_from,date_to,release,n_top_contributing_coms 1,n_top_contributing_coms 2,n_top_contributing_coms 3,n_top_contributing_coms 5,n_top_contributing_coms 10,n_top_contributing_coms 15,n_top_contributing_coms 20,n_top_contributing_coms 25,n_top_contributing_coms 30,n_top_contributing_coms 50,n_top_contributing_coms 100,n_top_contributing_coms 200,n_top_contributing_coms 500,top_contributions_perc 1,top_contributions_perc 2,top_contributions_perc 3,top_contributions_perc 5,top_contributions_perc 10,top_contributions_perc 15,top_contributions_perc 20,top_contributions_perc 25,top_contributions_perc 30,top_contributions_perc 50,top_contributions_perc 100,top_contributions_perc 200,top_contributions_perc 500
2015-06-01T00:00:00Z,2015-07-01T00:00:00Z,2015-06-01,1,1,1,1,2,3,4,4,5,9,26,61,67,7.2679045092838196,13.9522546419098143,20.0530503978779841,28.9124668435013263,47.0822281167108753,58.5145888594164456,67.2944297082228117,73.3687002652519894,77.3740053050397878,86.0742705570291777,93.9257294429708223,98.5145888594164456,100.0000000000000000
2015-07-01T00:00:00Z,2015-08-01T00:00:00Z,2015-07-01,1,1,1,1,1,2,2,3,4,9,21,60,81,9.9729130755971436,19.6749569071657227,27.0869244028564393,37.1090864319133218,54.4693425264713125,64.9347451366658459,71.8788475744890421,76.7298694902733317,80.4974144299433637,87.2937700073873430,93.6715094804235410,97.9315439546909628,100.0000000000000000
2015-08-01T00:00:00Z,2015-09-01T00:00:00Z,2015-08-01,1,1,1,1,2,2,3,3,5,10,29,64,104,4.9167327517842982,9.7805974094633888,13.8778747026169707,21.6230504890298705,38.1443298969072165,50.8591065292096220,60.0581549035157283,65.7414750198255353,69.9444885011895321,80.2273328046523923,89.4263811789584985,96.0613269891620407,100.0000000000000000
2015-09-01T00:00:00Z,2015-10-01T00:00:00Z,2015-09-01,1,1,1,2,2,3,4,5,5,8,23,62,93,6.8878197011901747,11.1167384147885541,15.1937199290959737,22.5879969612560142,37.1486452266396556,49.3795897695619144,58.0146872625981261,63.9908837680425424,68.4730311471258546,80.5013927576601671,91.0610281083818688,96.9106102810838187,100.0000000000000000
2015-10-01T00:00:00Z,2015-11-01T00:00:00Z,2015-10-01,1,2,2,2,2,2,3,4,5,8,19,57,76,5.0239234449760766,9.6346237494562853,13.7886037407568508,20.9873858199217051,35.0369725967812092,46.3679860809047412,56.4375815571987821,64.6802957807742497,70.4219225750326229,83.2100913440626359,92.6054806437581557,97.6946498477598956,100.0000000000000000
2015-11-01T00:00:00Z,2015-12-01T00:00:00Z,2015-11-01,1,1,1,1,2,2,5,5,6,8,22,53,93,5.7316682676913224,9.8302913864873519,13.4165866154338777,19.9807877041306436,32.9811079090617996,43.4518091578610311,51.2968299711815562,57.2526416906820365,62.0877361511367275,74.6077489593339737,87.0957412744156260,95.0368235670829331,100.0000000000000000
2015-12-01T00:00:00Z,2016-01-01T00:00:00Z,2015-12-01,1,1,1,1,2,2,3,3,4,6,24,55,82,7.6767676767676768,14.1077441077441077,19.9326599326599327,28.8888888888888889,40.0673400673400673,48.8215488215488215,56.4983164983164983,61.8518518518518519,66.4983164983164983,78.0134680134680135,88.7878787878787879,95.5892255892255892,100.0000000000000000
2016-01-01T00:00:00Z,2016-02-01T00:00:00Z,2016-01-01,1,1,1,1,1,2,3,5,5,9,29,55,91,5.9818352646414031,10.8362041966802380,15.2521139993736298,23.4888819292201691,38.3964923269652365,48.3557782649545882,56.1540870654556843,62.4177889132477294,67.2408393360476041,79.2045098653304103,89.4456623864704040,95.7720012527403696,100.0000000000000000
2016-02-01T00:00:00Z,2016-03-01T00:00:00Z,2016-02-01,1,1,1,2,2,2,3,3,4,10,19,56,96,5.0652859072489869,9.6578117964880684,13.6875281404772625,20.7564160288158487,33.8586222422332283,44.3719045475011256,53.0841963079693832,59.5902746510580819,64.9257091400270149,78.0279153534443944,89.4191805493021162,95.6776226924808645,100.0000000000000000
2016-03-01T00:00:00Z,2016-04-01T00:00:00Z,2016-03-01,1,2,2,3,3,4,4,6,6,11,27,60,121,7.6504854368932039,12.2330097087378641,16.6796116504854369,24.6796116504854369,38.1359223300970874,47.2815533980582524,54.2912621359223301,59.8834951456310680,63.9805825242718447,75.0097087378640777,85.7087378640776699,92.7184466019417476,99.9223300970873786
