date_from,date_to,release,n_top_contributing_coms 1,n_top_contributing_coms 2,n_top_contributing_coms 3,n_top_contributing_coms 5,n_top_contributing_coms 10,n_top_contributing_coms 15,n_top_contributing_coms 20,n_top_contributing_coms 25,n_top_contributing_coms 30,n_top_contributing_coms 50,n_top_contributing_coms 100,n_top_contributing_coms 200,n_top_contributing_coms 500,n_top_contributing_coms 1000,top_contributions_perc 1,top_contributions_perc 2,top_contributions_perc 3,top_contributions_perc 5,top_contributions_perc 10,top_contributions_perc 15,top_contributions_perc 20,top_contributions_perc 25,top_contributions_perc 30,top_contributions_perc 50,top_contributions_perc 100,top_contributions_perc 200,top_contributions_perc 500,top_contributions_perc 1000
2016-11-06T00:00:00Z,2016-12-06T00:00:00Z,2016-11-06,1,2,3,4,8,11,12,12,12,20,27,42,42,42,21.4953271028037383,34.5794392523364486,47.1962616822429907,59.0342679127725857,66.8224299065420561,70.5607476635514019,72.8971962616822430,75.2336448598130841,76.9470404984423676,83.1775700934579439,92.9906542056074766,100.0000000000000000,100.0000000000000000,100.0000000000000000
2016-12-06T00:00:00Z,2017-01-06T00:00:00Z,2016-12-06,1,2,3,5,8,9,9,11,13,16,25,30,30,30,20.4225352112676056,39.0845070422535211,46.1267605633802817,58.0985915492957746,66.5492957746478873,70.2464788732394366,73.2394366197183099,75.5281690140845070,77.2887323943661972,84.3309859154929577,94.7183098591549296,100.0000000000000000,100.0000000000000000,100.0000000000000000
2017-01-06T00:00:00Z,2017-02-06T00:00:00Z,2017-01-06,1,2,3,5,7,9,12,14,17,21,37,45,45,45,21.6300940438871473,31.1912225705329154,39.1849529780564263,50.7836990595611285,64.7335423197492163,70.2194357366771160,73.8244514106583072,76.1755485893416928,78.0564263322884013,84.3260188087774295,93.1034482758620690,100.0000000000000000,100.0000000000000000,100.0000000000000000
2017-02-06T00:00:00Z,2017-03-06T00:00:00Z,2017-02-06,1,2,2,4,8,9,11,13,16,24,32,47,47,47,23.2181425485961123,41.0367170626349892,56.9114470842332613,66.9546436285097192,76.4578833693304536,78.9416846652267819,80.8855291576673866,82.5053995680345572,83.9092872570194384,88.2289416846652268,94.9244060475161987,100.0000000000000000,100.0000000000000000,100.0000000000000000
2017-03-06T00:00:00Z,2017-04-06T00:00:00Z,2017-03-06,1,2,3,4,7,10,12,13,15,20,32,54,54,54,24.0077444336882865,36.2052274927395934,43.2720232333010649,57.0183930300096805,70.4743465634075508,74.0561471442400774,75.9922555663117135,77.4443368828654405,78.8964181994191675,82.8654404646660213,90.3194578896418199,100.0000000000000000,100.0000000000000000,100.0000000000000000
2017-04-06T00:00:00Z,2017-05-06T00:00:00Z,2017-04-06,1,2,3,3,6,8,10,10,12,19,35,45,45,45,20.2923473774720550,32.2441960447119518,43.7661220980223560,57.5236457437661221,75.0644883920894239,80.5674978503869304,82.9750644883920894,84.6947549441100602,86.0705073086844368,89.7678417884780739,95.2708512467755804,100.0000000000000000,100.0000000000000000,100.0000000000000000
2017-05-06T00:00:00Z,2017-06-06T00:00:00Z,2017-05-06,1,2,3,3,7,9,11,12,13,13,30,47,47,47,18.7056737588652482,32.6241134751773050,40.5141843971631206,52.6595744680851064,71.6312056737588652,77.3049645390070922,80.2304964539007092,81.9148936170212766,83.2446808510638298,87.4113475177304965,93.6170212765957447,100.0000000000000000,100.0000000000000000,100.0000000000000000
2017-06-06T00:00:00Z,2017-07-06T00:00:00Z,2017-06-06,1,2,3,4,5,9,12,15,16,22,34,40,40,40,20.4665959703075292,36.9034994697773065,45.9172852598091198,53.9766702014846235,67.3382820784729586,74.6553552492046660,78.7910922587486744,80.5938494167550371,82.1845174973488865,86.6383881230116649,93.1071049840933192,100.0000000000000000,100.0000000000000000,100.0000000000000000
2017-07-06T00:00:00Z,2017-08-06T00:00:00Z,2017-07-06,1,2,3,4,7,10,13,16,17,22,32,53,53,53,30.1181102362204724,37.0078740157480315,43.7007874015748031,53.1496062992125984,67.8149606299212598,72.6377952755905512,75.6889763779527559,77.4606299212598425,78.9370078740157480,83.2677165354330709,90.2559055118110236,100.0000000000000000,100.0000000000000000,100.0000000000000000
2017-08-06T00:00:00Z,2017-09-06T00:00:00Z,2017-08-06,1,2,3,4,8,10,12,12,15,22,33,61,61,61,16.8639053254437870,28.5009861932938856,37.0808678500986193,48.4220907297830375,62.5246548323471400,68.9349112426035503,72.4852071005917160,74.9506903353057199,76.7258382642998028,81.7554240631163708,90.1380670611439842,100.0000000000000000,100.0000000000000000,100.0000000000000000
2017-09-06T00:00:00Z,2017-10-06T00:00:00Z,2017-09-06,1,2,3,4,8,10,12,16,18,23,30,48,48,48,15.4774972557628979,30.7354555433589462,40.9440175631174533,52.1405049396267838,64.1053787047200878,68.9352360043907794,72.3380900109769484,74.6432491767288694,76.5093304061470911,81.6684961580680571,89.4621295279912184,100.0000000000000000,100.0000000000000000,100.0000000000000000
2017-10-06T00:00:00Z,2017-11-06T00:00:00Z,2017-10-06,1,2,3,4,8,9,12,14,17,20,33,53,56,56,19.7994987468671679,31.5789473684210526,43.1913116123642439,53.8847117794486216,68.3375104427736007,73.1829573934837093,75.3550543024227235,77.0258980785296575,78.6967418546365915,83.2080200501253133,90.7268170426065163,99.0810359231411863,100.0000000000000000,100.0000000000000000
2017-11-06T00:00:00Z,2017-12-06T00:00:00Z,2017-11-06,1,2,3,5,9,11,14,18,19,25,33,52,52,52,19.4146341463414634,32.8780487804878049,40.4878048780487805,51.1219512195121951,66.7317073170731707,72.2926829268292683,75.6097560975609756,77.4634146341463415,78.9268292682926829,83.0243902439024390,90.1463414634146341,99.9024390243902439,100.0000000000000000,100.0000000000000000
2017-12-06T00:00:00Z,2018-01-06T00:00:00Z,2017-12-06,1,2,3,5,8,9,13,15,17,20,30,46,46,46,20.0520833333333333,28.5156250000000000,36.3281250000000000,46.3541666666666667,59.5052083333333333,66.2760416666666667,70.0520833333333333,72.5260416666666667,74.4791666666666667,79.9479166666666667,88.4114583333333333,100.0000000000000000,100.0000000000000000,100.0000000000000000
2018-01-06T00:00:00Z,2018-02-06T00:00:00Z,2018-01-06,1,2,3,5,7,10,12,15,17,23,29,43,48,48,15.8848614072494670,29.1044776119402985,36.4605543710021322,47.6545842217484009,60.6609808102345416,65.7782515991471215,68.8699360341151386,71.1087420042643923,72.9211087420042644,78.3582089552238806,87.5266524520255864,98.1876332622601279,100.0000000000000000,100.0000000000000000
2018-02-06T00:00:00Z,2018-03-06T00:00:00Z,2018-02-06,1,2,3,5,7,10,12,13,14,18,22,43,43,43,25.4601226993865031,37.6278118609406953,44.8875255623721881,55.8282208588957055,66.7689161554192229,71.4723926380368098,74.9488752556237219,77.4028629856850716,79.0388548057259714,83.2310838445807771,89.8773006134969325,100.0000000000000000,100.0000000000000000,100.0000000000000000
2018-03-06T00:00:00Z,2018-04-06T00:00:00Z,2018-03-06,1,2,3,5,8,11,11,11,15,16,20,32,32,32,32.2643343051506317,42.1768707482993197,49.2711370262390671,56.2682215743440233,66.5694849368318756,71.0398445092322643,73.7609329446064140,75.8017492711370262,77.6482021379980564,82.3129251700680272,89.4071914480077745,99.1253644314868805,100.0000000000000000,100.0000000000000000
2018-04-06T00:00:00Z,2018-05-06T00:00:00Z,2018-04-06,1,2,3,5,6,8,9,10,12,14,16,16,16,16,16.5714285714285714,33.1428571428571429,44.0000000000000000,54.2857142857142857,68.0000000000000000,74.8571428571428571,80.5714285714285714,83.4285714285714286,86.2857142857142857,97.7142857142857143,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
