release,top_contributions_perc 1,top_contributions_perc 2,top_contributions_perc 3,top_contributions_perc 5,top_contributions_perc 10,top_contributions_perc 15,top_contributions_perc 20,top_contributions_perc 25,top_contributions_perc 30,top_contributions_perc 50,top_contributions_perc 100,top_contributions_perc 200,top_contributions_perc 500,top_contributions_perc 1000
2016-04-17,49.5327102803738318,75.7009345794392523,78.5046728971962617,83.1775700934579439,91.5887850467289720,96.2616822429906542,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2016-05-17,50.0000000000000000,78.5714285714285714,82.1428571428571429,86.9047619047619048,94.0476190476190476,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2016-06-17,56.3636363636363636,72.7272727272727273,80.0000000000000000,87.2727272727272727,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2016-07-17,30.7692307692307692,53.8461538461538462,76.9230769230769231,92.3076923076923077,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2016-08-17,46.5517241379310345,72.4137931034482759,75.8620689655172414,82.7586206896551724,91.3793103448275862,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2016-09-17,41.6666666666666667,80.5555555555555556,91.6666666666666667,97.2222222222222222,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2016-10-17,39.6226415094339623,71.6981132075471698,81.1320754716981132,88.6792452830188679,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2016-11-17,26.8817204301075269,52.6881720430107527,62.3655913978494624,74.1935483870967742,88.1720430107526882,93.5483870967741935,98.9247311827956989,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2016-12-17,24.7422680412371134,43.2989690721649485,54.6391752577319588,71.1340206185567010,87.6288659793814433,94.8453608247422680,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2017-01-17,30.0366300366300366,48.7179487179487179,64.8351648351648352,81.6849816849816850,91.2087912087912088,95.6043956043956044,97.8021978021978022,99.6336996336996337,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2017-02-17,24.1134751773049645,46.8085106382978723,57.8014184397163121,75.8865248226950355,87.9432624113475177,94.3262411347517730,96.4539007092198582,98.2269503546099291,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2017-03-17,21.7228464419475655,37.4531835205992509,51.3108614232209738,67.7902621722846442,85.7677902621722846,91.7602996254681648,95.5056179775280899,97.3782771535580524,99.2509363295880150,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2017-04-17,26.1764705882352941,41.4705882352941176,52.6470588235294118,68.8235294117647059,85.8823529411764706,91.7647058823529412,94.4117647058823529,95.8823529411764706,97.3529411764705882,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2017-05-17,31.0344827586206897,46.9827586206896552,59.9137931034482759,76.0775862068965517,87.9310344827586207,93.7500000000000000,97.1982758620689655,98.7068965517241379,99.7844827586206897,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2017-06-17,35.0364963503649635,49.6350364963503650,60.9489051094890511,79.1970802919708029,88.5036496350364964,92.7007299270072993,95.6204379562043796,97.4452554744525547,99.0875912408759124,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2017-07-17,25.6166982922201139,49.3358633776091082,63.3776091081593928,82.5426944971537002,91.8406072106261860,94.6869070208728653,96.5844402277039848,97.7229601518026565,98.6717267552182163,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2017-08-17,32.1995464852607710,49.8866213151927438,61.9047619047619048,82.5396825396825397,92.7437641723356009,95.4648526077097506,97.0521541950113379,98.1859410430839002,99.3197278911564626,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2017-09-17,25.5617977528089888,40.7303370786516854,53.0898876404494382,68.5393258426966292,86.7977528089887640,92.1348314606741573,95.5056179775280899,97.4719101123595506,98.8764044943820225,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2017-10-17,22.9607250755287009,39.2749244712990937,55.2870090634441088,73.1117824773413897,90.0302114803625378,94.2598187311178248,96.6767371601208459,98.1873111782477341,99.6978851963746224,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2017-11-17,27.5862068965517241,44.1810344827586207,57.9741379310344828,76.2931034482758621,91.8103448275862069,95.9051724137931034,98.4913793103448276,99.7844827586206897,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2017-12-17,28.5185185185185185,42.2222222222222222,55.1851851851851852,70.3703703703703704,84.0740740740740741,89.6296296296296296,93.3333333333333333,95.1851851851851852,97.0370370370370370,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2018-01-17,28.1961471103327496,47.9859894921190893,60.0700525394045534,75.3064798598949212,90.3677758318739054,93.3450087565674256,95.0963222416812609,96.3222416812609457,97.1978984238178634,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2018-02-17,31.2354312354312354,43.8228438228438228,54.0792540792540793,69.2307692307692308,85.3146853146853147,91.6083916083916084,94.1724941724941725,96.0372960372960373,97.2027972027972028,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2018-03-17,41.6201117318435754,55.0279329608938547,65.9217877094972067,80.1675977653631285,90.2234636871508380,93.5754189944134078,95.2513966480446927,96.6480446927374302,98.0446927374301676,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
Quarter from 2015-10,38.1818181818181818,58.1818181818181818,65.4545454545454545,78.1818181818181818,94.5454545454545455,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
Quarter from 2016-01,64.1361256544502618,73.0366492146596859,81.6753926701570681,87.9581151832460733,93.4554973821989529,96.0732984293193717,98.4293193717277487,99.7382198952879581,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
Quarter from 2016-04,49.1039426523297491,71.6845878136200717,73.8351254480286738,77.4193548387096774,83.1541218637992832,87.4551971326164875,91.0394265232974910,94.6236559139784946,96.4157706093189964,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
Quarter from 2016-07,38.2608695652173913,75.6521739130434783,80.0000000000000000,83.4782608695652174,91.3043478260869565,95.6521739130434783,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
Quarter from 2016-10,28.1081081081081081,56.2162162162162162,62.1621621621621622,70.8108108108108108,80.0000000000000000,85.9459459459459459,90.8108108108108108,93.5135135135135135,96.2162162162162162,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
Quarter from 2017-01,26.8817204301075269,46.9086021505376344,58.3333333333333333,73.5215053763440860,87.9032258064516129,91.6666666666666667,93.8172043010752688,95.4301075268817204,96.6397849462365591,99.3279569892473118,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
Quarter from 2017-04,30.6907378335949765,45.9183673469387755,57.1428571428571429,74.8822605965463108,85.7142857142857143,91.8367346938775510,95.0549450549450549,96.5463108320251177,97.4882260596546311,99.2935635792778650,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
Quarter from 2017-07,27.5457875457875458,44.3956043956043956,57.1428571428571429,80.0000000000000000,89.5238095238095238,92.3809523809523810,94.2857142857142857,95.6776556776556777,96.4835164835164835,98.7545787545787546,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
Quarter from 2017-10,26.0000000000000000,40.9523809523809524,55.7142857142857143,72.0952380952380952,87.9047619047619048,91.2380952380952381,93.7142857142857143,95.8095238095238095,96.9523809523809524,99.4285714285714286,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
Quarter from 2018-01,29.8674110258199581,46.8248429867411026,57.9902302861130495,74.3196092114445220,86.8806699232379623,90.3698534542916957,92.4633635729239358,93.9288206559665038,95.1151430565247732,97.6273551988834613,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
